user_id,session_id,days_in_base,session_qty_acc,add_to_cart_qty_acc,page_pdp_qty_acc,page_plp_qty_acc,page_search_plp_qty_acc,bounce_sessions_qty_acc,navigation_time_acc,is_next_session_activation
16769495687724282650u,11227866154077669351s,0.950902777723968,2,0,2,1,5,1,251.0,1
16809254576247583688u,7439261768941141672s,0.0006018518470227718,1,0,0,3,0,0,52.0,0
16809254576247583688u,15263735890419205096s,2.824733796529472,2,3,3,4,6,0,1654.0,0
16809254576247583688u,10130518232422448898s,2.867986111436039,3,3,5,4,6,0,1666.0,1
16830185576006835348u,11863006481942035375s,0.0,1,0,1,0,0,1,0.0,1
16843822133813160340u,8400447159895833175s,0.0,1,0,1,0,0,1,0.0,1
16850800463386867959u,50307406547042117s,0.03365740738809109,1,0,6,1,0,0,2908.0,1
16904785832848778046u,17467013580726249376s,0.0008680555038154125,1,0,1,1,0,0,75.0,1
16918232869991364170u,7371770703092059553s,0.0,1,0,0,1,0,1,0.0,1
16923935403451669629u,2491879458211299975s,0.0,1,0,1,0,0,1,0.0,0
16923935403451669629u,3893300890239021731s,5.041296296287328,2,3,25,0,0,1,1101.0,1
16933508408325135232u,3105077605371212880s,0.0,1,0,1,0,0,1,0.0,1
16938832129653774492u,2056098041735862281s,0.0,1,0,1,0,0,1,0.0,1
1693936616886419216u,7086012543216909136s,0.0,1,0,1,0,0,1,0.0,1
16943400124444267578u,10998405168889386032s,0.0,1,0,1,0,0,1,0.0,1
16946679215804180180u,6315966437258136912s,0.00011574104428291321,1,0,0,2,0,0,10.0,0
16946679215804180180u,13783190009791441029s,1.7368634259328246,2,3,4,5,3,0,870.0,0
16946679215804180180u,10381295897881997184s,1.7964930557645857,3,5,6,6,6,0,3173.0,0
16946679215804180180u,1884252319665350637s,2.0805787038989365,4,5,6,8,6,0,3175.0,1
16966143758407738601u,228922427849474191s,0.0020254631526768208,1,1,3,0,0,0,175.0,1
16966920898032730254u,6736399256702968618s,0.021238426212221384,1,0,12,0,0,0,1835.0,1
16973681721852737300u,7389570164125855921s,0.0,1,0,1,0,0,1,0.0,1
16990035564941942977u,5817263407983167078s,0.0,1,0,1,0,0,1,0.0,1
16998954590273963184u,1165979176359527169s,0.013298611156642437,1,0,2,1,5,0,1149.0,1
17003292065621836655u,14622709568567656242s,0.0009953705593943596,1,0,4,0,0,0,86.0,0
17003292065621836655u,8578464960556206004s,7.961377314757556,2,0,5,2,0,0,385.0,0
17003292065621836655u,16337903888856466172s,8.008356481324881,3,0,8,2,0,0,622.0,0
17003292065621836655u,14900699437970821276s,8.125324074178934,4,1,9,3,0,0,773.0,1
17008238603624156333u,17626850499329059728s,0.0,1,0,1,0,0,1,0.0,1
17022283238580419519u,11934136347631188479s,0.006400462705641985,1,0,4,0,0,0,553.0,1
1703275078620496220u,15066837546788760853s,0.0,1,0,1,0,0,1,0.0,1
17035290263288373497u,1360053668199185463s,0.0,1,0,1,0,0,1,0.0,1
17052267622180637439u,4265290531291584640s,0.002569444477558136,1,0,2,0,0,0,222.0,1
17053191994717975141u,8810320127682998675s,0.0,1,0,1,0,0,1,0.0,1
17054398009593910678u,12606927211350051957s,0.00010416703298687935,1,0,0,2,0,0,9.0,1
17058909250802125978u,15305395293812777373s,0.004421296529471874,1,0,6,0,0,0,382.0,0
17058909250802125978u,1063866892536598262s,0.11354166688397527,2,0,8,0,0,0,485.0,1
17059300454665413696u,1465213826940478867s,0.010474537033587694,1,0,3,0,0,0,905.0,1
17067834755966885003u,9178464430296367713s,0.0,1,0,1,0,0,1,0.0,1
17069445630519274813u,18046512917359920930s,0.009745370130985975,1,0,3,0,0,0,842.0,0
17069445630519274813u,16336288689516838133s,2.0146064814180136,2,0,9,0,0,0,1363.0,1
17075942928093969823u,1413627242682021579s,0.0001157405786216259,1,1,1,0,0,0,10.0,1
17093765574274631414u,6070349128739508638s,0.004930555820465088,1,0,3,2,0,0,426.0,0
17093765574274631414u,2671950548692014085s,0.2893402776680887,2,2,11,3,9,0,2938.0,1
17104227392368874563u,6316082112932727768s,0.005509259179234505,1,1,2,1,0,0,476.0,0
17104227392368874563u,16347640512348185819s,0.0885648145340383,2,1,4,1,0,0,680.0,0
17104227392368874563u,11098384943576203408s,0.2447800925001502,3,1,5,1,0,1,680.0,1
17104902465644544645u,12687430682146642849s,0.006446759216487408,1,0,8,0,0,0,557.0,1
17111151535790995625u,16199968400123350302s,0.02886574063450098,1,0,1,0,3,0,2494.0,1
17114470336380010338u,15538869020087627620s,0.0,1,0,0,1,0,1,0.0,1
17135919007360622237u,15226381566188244871s,0.008287037257105112,1,0,6,0,9,0,716.0,1
17147017930013683084u,10467398998236132199s,0.0046180556528270245,1,0,2,1,0,0,399.0,1
17150103812715802490u,4612369949447021048s,0.003611111082136631,1,1,3,1,0,0,312.0,0
17150103812715802490u,15906727124768130149s,0.5426041665486991,2,1,4,1,0,1,312.0,0
17150103812715802490u,8992695395864693562s,0.9694791664369404,3,2,7,1,0,1,555.0,0
17150103812715802490u,16100308387169796525s,0.999710647854954,4,2,8,1,0,2,555.0,1
1717780099928744235u,2839734139174522237s,0.0,1,0,0,1,0,1,0.0,0
1717780099928744235u,13869387029804190827s,0.09458333300426602,2,1,1,1,0,1,15.0,1
17188647021000397740u,12186488022998275237s,0.0006018518470227718,1,0,0,2,0,0,52.0,1
1719502642644386131u,10495458049874864571s,0.011967592872679234,1,0,0,3,0,0,1034.0,1
17196991888219792184u,12077002977151462310s,0.0,1,0,0,1,0,1,0.0,1
17211529834995713494u,272901989117612872s,0.0,1,0,1,0,0,1,0.0,0
17211529834995713494u,10365149686111323093s,0.2704513887874782,2,2,20,1,0,1,5996.0,1
17212414908527305413u,11103182750431574666s,0.0,1,0,1,0,0,1,0.0,1
17219714674319618139u,11623252713547549630s,0.007175926119089127,1,0,2,1,0,0,620.0,1
1724666464200091738u,13902389413780466136s,0.007210648152977228,1,0,4,1,0,0,623.0,1
17247591507923073450u,10615262412039016197s,0.04553240770474076,1,1,6,2,0,0,3934.0,1
17252041242935633380u,13477901689746218752s,0.007962962612509727,1,0,2,1,6,0,688.0,1
17254640211177297553u,13450149622061615728s,0.0,1,0,0,1,0,1,0.0,0
17254640211177297553u,18418456459311160921s,0.6811689813621342,2,0,0,2,0,2,0.0,1
17256045324942197417u,16524277803422455677s,0.000937500037252903,1,1,3,0,0,0,81.0,1
17272574199135532607u,9386116807011950365s,0.006180555559694767,1,1,2,1,0,0,534.0,0
17272574199135532607u,16499617619765621687s,0.1151736113242805,2,1,5,2,0,0,990.0,1
17272988540971244773u,5042749601886600084s,0.044340277556329966,1,0,2,0,9,0,3831.0,1
17285711989283906064u,10437404721460234431s,0.0,1,0,0,1,0,1,0.0,1
1728742372273861935u,17029177362857569420s,0.012708333320915699,1,1,4,1,0,0,1098.0,0
1728742372273861935u,17480050724447319085s,4.050763888750225,2,5,8,2,11,0,2042.0,1
1728879158684842956u,4145928167735831741s,0.00020833313465118408,1,0,1,0,1,0,18.0,1
17291401886215899481u,17619594231256643144s,0.01708333333954215,1,0,5,1,0,0,1476.0,0
17291401886215899481u,14087326786818290104s,5.9488657410256565,2,0,7,1,0,0,1832.0,0
17291401886215899481u,2845140064969314355s,6.042766203638166,3,0,8,1,0,1,1832.0,1
17294764674890817510u,14477941791431507428s,0.0007060188800096512,1,0,0,1,3,0,61.0,1
17327299705058351864u,3789211761902725082s,4.6296510845422745e-05,1,0,2,0,0,0,4.0,0
17327299705058351864u,4600492830536464656s,0.02916666679084301,2,0,4,0,1,0,113.0,0
17327299705058351864u,10405836734433957149s,0.2973842592909932,3,0,4,1,1,1,113.0,1
17335187439795987618u,5855608706406049993s,0.03943287068977952,1,0,7,5,1,0,3407.0,1
17341552041713770837u,6505881417198588352s,0.001979166641831398,1,2,3,0,0,0,171.0,1
17391541557712056577u,1888424181357222962s,0.0013425922952592373,1,0,0,1,2,0,116.0,1
17402106646940428313u,17777586520153192797s,0.007905092556029558,1,1,5,0,0,0,683.0,0
17402106646940428313u,9209660569724485928s,3.8406365741975605,2,1,5,0,2,0,759.0,0
17402106646940428313u,13248760702754605355s,3.8934027780778706,3,1,5,0,3,1,759.0,1
17412664421312388595u,12362814085271398559s,0.0,1,0,1,0,0,1,0.0,0
17412664421312388595u,17609327815943512314s,0.14152777753770351,2,0,5,0,0,1,1487.0,1
1741733208391102834u,165925246658833267s,0.02197916666045785,1,8,6,0,17,0,1899.0,1
17431146577771984075u,6318438248434603671s,0.0,1,0,1,0,0,1,0.0,0
17431146577771984075u,5320312723431976755s,0.11768518527969718,2,0,3,1,0,1,1009.0,0
17431146577771984075u,12888437464037537828s,1.19723379611969,3,1,4,3,0,1,3179.0,1
17445922457414430381u,18287912212591942566s,0.0,1,0,1,0,0,1,0.0,1
1745014494629092464u,2063081117740677135s,0.0,1,0,1,0,0,1,0.0,0
1745014494629092464u,8133279586183214161s,0.029745370149612427,2,0,2,0,1,1,18.0,1
17451407377274720222u,14594897205183475605s,0.0,1,0,1,0,0,1,0.0,0
17451407377274720222u,7051483972856706474s,0.08887731470167637,2,1,2,1,0,1,2097.0,1
17470371668301738794u,13688663415583570347s,0.0031250002793967724,1,2,0,4,0,0,270.0,1
17480011841590560183u,4007516196899492092s,0.01430555572733283,1,0,2,1,0,0,1236.0,1
17491242425256340525u,2936349762774879223s,0.0,1,0,0,1,0,1,0.0,0
17491242425256340525u,4315508986313364230s,2.123981481883675,2,0,2,1,0,1,1377.0,1
17506046895125313300u,9957285837754164898s,0.015868055634200573,1,1,5,0,6,0,1371.0,0
17506046895125313300u,751248617863520718s,0.07270833337679505,2,1,6,0,6,1,1371.0,1
17512837574115367331u,8061291270081195011s,0.0012268517166376114,1,2,5,0,0,0,106.0,1
17513422618791088531u,5172294227329619845s,0.004976851865649223,1,0,0,2,0,0,430.0,1
17517382623844108091u,13615996030531573990s,0.0,1,0,1,0,0,1,0.0,0
